-;$;numId;id;t_mais;t_mul;t_menos;t_div;t_maior;t_menor;t_igual;t_maiorIgual;t_menorIgual;t_nIgual;t_e;t_ou;t_escr;t_leia;t_IO;t_vari;t_rep;t_se;t_n_se;t_n;t_faca;t_inc;t_fim;t_fimLinha;t_virg;t_p;t_ac;t_fc;t_ter;t_t;t_ap;t_fp;t_a
<codigo>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-
<prog>;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;7;8;-;3;6;4;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-
<l_prog>;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;-;-;1;-;9;-;-;-;-;9;-;-;-;-;-
<tar>;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<var_tar>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<escr>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<escr_isso>;-;-;-;46;46;46;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-
<leia>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<se>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<se_n>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;41;-;-;-;43;-;-;-;-;-;-;-;-;-
<decl>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<tip_decl>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;11;-;-;-;-;-;-;-;-
<m_decl>;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<enq>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-
<ate>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<logic>;-;25;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<t_logic>;-;-;-;-;-;-;-;-;-;-;-;-;-;29;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<l_logic>;-;-;-;-;-;-;-;36;35;34;33;32;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-
<f_logic>;-;-;-;-;-;-;-;27;27;27;27;27;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;28;28
<expr>;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;18;-
<i_expr>;-;-;-;21;20;22;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
<g_expr>;-;-;-;23;23;23;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;24;-
