0;<codigo>;t_inc;t_fimLinha;<l_prog>;t_fim;t_fimLinha;-;-;-;-;-;-
1;<l_prog>;<prog>;<l_prog>;-;-;-;-;-;-;-;-;-
2;<prog>;<tar>;-;-;-;-;-;-;-;-;-;-
3;<prog>;<decl>;-;-;-;-;-;-;-;-;-;-
4;<prog>;<se>;-;-;-;-;-;-;-;-;-;-
5;<prog>;<enq>;-;-;-;-;-;-;-;-;-;-
6;<prog>;<ate>;-;-;-;-;-;-;-;-;-;-
7;<prog>;<escr>;-;-;-;-;-;-;-;-;-;-
8;<prog>;<leia>;-;-;-;-;-;-;-;-;-;-
9;<l_prog>;X;-;-;-;-;-;-;-;-;-;-
10;<decl>;t_vari;t_ter;id;<tip_decl>;-;-;-;-;-;-;-
11;<tip_decl>;t_virg;<m_decl>;-;-;-;-;-;-;-;-;-
12;<tip_decl>;<var_tar>;-;-;-;-;-;-;-;-;-;-
13;<tip_decl>;t_fimLinha;-;-;-;-;-;-;-;-;-;-
14;<m_decl>;id;<tip_decl>;-;-;-;-;-;-;-;-;-
15;<tar>;id;t_p;<expr>;t_fimLinha;-;-;-;-;-;-;-
16;<expr>;id;<g_expr>;-;-;-;-;-;-;-;-;-
17;<expr>;t_IO;-;-;-;-;-;-;-;-;-;-
18;<expr>;X;-;-;-;-;-;-;-;-;-;-
19;<i_expr>;t_div;-;-;-;-;-;-;-;-;-;-
20;<i_expr>;t_mul;-;-;-;-;-;-;-;-;-;-
21;<i_expr>;t_mais;-;-;-;-;-;-;-;-;-;-
22;<i_expr>;t_menos;-;-;-;-;-;-;-;-;-;-
23;<g_expr>;<i_expr>;id;-;-;-;-;-;-;-;-;-
24;<g_expr>;X;-;-;-;-;-;-;-;-;-;-
25;<logic>;numId;<f_logic>;-;-;-;-;-;-;-;-;-
26;<logic>;id;<f_logic>;-;-;-;-;-;-;-;-;-
27;<f_logic>;<l_logic>;-;-;-;-;-;-;-;-;-;-
28;<f_logic>;X;-;-;-;-;-;-;-;-;-;-
29;<t_logic>;t_e;-;-;-;-;-;-;-;-;-;-
30;<t_logic>;t_ou;-;-;-;-;-;-;-;-;-;-
31;<l_logic>;t_nIgual;<logic>;-;-;-;-;-;-;-;-;-
32;<l_logic>;t_menorIgual;<logic>;-;-;-;-;-;-;-;-;-
33;<l_logic>;t_maiorIgual;<logic>;-;-;-;-;-;-;-;-;-
34;<l_logic>;t_igual;<logic>;-;-;-;-;-;-;-;-;-
35;<l_logic>;t_menor;<logic>;-;-;-;-;-;-;-;-;-
36;<l_logic>;t_maior;<logic>;-;-;-;-;-;-;-;-;-
37;<l_logic>;t_t;<t_logic>;t_t;<logic>;-;-;-;-;-;-;-
38;<enq>;t_faca;t_ap;<logic>;t_fp;t_ac;<l_prog>;t_fc;-;-;-;-
39;<ate>;t_rep;t_ap;id;t_a;<logic>;t_a;<expr>;t_fp;t_ac;<l_prog>;t_fc
40;<se>;t_se;t_ap;<logic>;t_fp;t_ac;<l_prog>;t_fc;-;-;-;-
41;<se_n>;t_n;t_ac;<l_prog>;t_fc;-;-;-;-;-;-;-
42;<se_n>;t_n_se;t_ap;<logic>;t_fp;t_ac;<l_prog>;t_fc;<se_n>;-;-;-
43;<se_n>;t_fimLinha;-;-;-;-;-;-;-;-;-;-
44;<escr>;t_escr;t_ap;<escr_isso>;t_fp;t_fimLinha;-;-;-;-;-;-
45;<escr_isso>;t_ac;id;t_fc;-;-;-;-;-;-;-;-
46;<escr_isso>;<i_expr>;-;-;-;-;-;-;-;-;-;-
47;<leia>;t_leia;t_ap;<tar>;t_fp;t_fimLinha;-;-;-;-;-;-
